$FILENAME single/lemforum/Cunning/drstrangelix.txt
$LEVEL_BUILT_REQUIRED 2012-05-29 16:24:03
$GAME_VERSION_REQUIRED 0.6.3

+PLAYER 0 Garden Michael

! 133 0 ASSIGN=BUILDER 1
! 167 0 ASSIGN=BUILDER 0
! 168 0 ASSIGN=BUILDER 0
! 169 0 ASSIGN=BUILDER 0
! 177 0 ASSIGN=BUILDER 2
! 221 0 ASSIGN=BUILDER 3
! 405 0 ASSIGN=BUILDER 4
! 436 0 ASSIGN=BUILDER 1
! 467 0 ASSIGN=BUILDER 5
! 468 0 ASSIGN=CLIMBER 2
! 469 0 ASSIGN=CLIMBER 6
! 470 0 ASSIGN=CLIMBER 3
! 471 0 ASSIGN=CLIMBER 7
! 657 0 ASSIGN=CLIMBER 9
! 661 0 ASSIGN=CLIMBER 8
! 670 0 ASSIGN=CLIMBER 10
! 675 0 ASSIGN=CLIMBER 5
! 677 0 ASSIGN=CLIMBER 11
! 679 0 ASSIGN=CLIMBER 1
! 685 0 ASSIGN=CLIMBER 4
! 689 0 ASSIGN=CLIMBER 0
! 692 0 ASSIGN=CLIMBER 12
! 725 0 ASSIGN=CLIMBER 13
! 764 0 ASSIGN=CLIMBER 14
! 801 0 ASSIGN=EXPLODER 2
! 817 0 ASSIGN=CLIMBER 15
! 833 0 ASSIGN=EXPLODER 6
! 859 0 ASSIGN=EXPLODER 3
! 882 0 ASSIGN=CLIMBER 16
! 889 0 ASSIGN=EXPLODER 7
! 927 0 ASSIGN=CLIMBER 17
! 974 0 ASSIGN=CLIMBER 18
! 1015 0 ASSIGN=CLIMBER 19

$BUILT 2012-05-29 16:24:03
$AUTHOR Michael S. Repton
$ENGLISH Dr Strangelix

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 1280
#SIZE_Y 400
#START_X 288
#START_Y 0

#SECONDS 0
#INITIAL 20
#REQUIRED 15
#SPAWN_INTERVAL 50

#CLIMBER -1
#EXPLODER -1
#BUILDER -1

:geoo/sandstone/Hatch.H: 400 176

:geoo/sandstone/Goal.G: 992 240

:simon/water.W: 320 352
:simon/water.W: 368 352
:simon/water.W: 416 352
:simon/water.W: 464 352
:simon/water.W: 512 352
:simon/water.W: 560 352
:simon/water.W: 608 352
:simon/water.W: 656 352
:simon/water.W: 704 352
:simon/water.W: 960 352
:simon/water.W: 1008 352
:proxima/flame.F: 800 224
:proxima/flame.F: 832 224

:geoo/sandstone/64x32: 32 304
:geoo/sandstone/64x32: 224 304
:geoo/construction/stairsbrick_ru_32: 64 272
:geoo/sandstone/64x32: 128 240
:geoo/construction/stairsbrick_rd_32: 176 272
:geoo/sandstone/pillar_bottom_ext: 128 224
:geoo/sandstone/pillar_bottom: 144 192
:geoo/construction/stairsbrick_ru_8: 160 160
:geoo/sandstone/pillar_top_jaggedr: 144 160
:geoo/construction/stairsbrick_ru_8: 176 152
:geoo/sandstone/pillar_32: 208 80
:geoo/sandstone/pillar_top: 208 48
:geoo/sandstone/pillar_top_ext: 192 32
:geoo/sandstone/64x32: 192 0
:geoo/construction/stairsbrick_ru_8: 192 144
:geoo/construction/stairsbrick_ru_8: 208 136
:geoo/sandstone/pillar_top_jaggedl: 208 112 f
:geoo/sandstone/slopes/32x32rt: 160 0
:geoo/sandstone/slopes/32x32lt: 256 0
:geoo/sandstone/slopes/32x32lt: 128 0
:geoo/sandstone/64x32: 64 0
:geoo/sandstone/64x32: 0 0
:geoo/sandstone/32x64: 0 32
:geoo/sandstone/32x32: 32 32
:geoo/sandstone/slopes/32x32lt: 32 64
:geoo/sandstone/64x64: 0 336
:geoo/sandstone/64x64: 64 336
:geoo/sandstone/64x64: 192 336
:geoo/sandstone/64x64: 256 336
:geoo/sandstone/slopes/32x64lb: 128 336
:geoo/sandstone/slopes/32x64rb: 160 336
:geoo/sandstone/pillar_top_ext: 384 304
:geoo/sandstone/pillar_top_ext: 576 304
:geoo/sandstone/64x32: 384 272
:geoo/sandstone/64x32: 448 272
:geoo/sandstone/64x32: 512 272
:geoo/sandstone/64x32: 576 272
:geoo/sandstone/pillar_32: 400 352
:geoo/sandstone/pillar_top: 400 320
:geoo/sandstone/pillar_32: 592 352
:geoo/sandstone/pillar_top: 592 320
:geoo/steel/dark_64x64o.S: 736 336
:geoo/steel/dark_64x64o.S: 800 336
:geoo/steel/dark_64x64o.S: 864 336
:geoo/sandstone/64x32: 736 304
:geoo/sandstone/64x32: 800 304
:geoo/sandstone/64x32: 864 304
:geoo/sandstone/64x32: 768 272
:geoo/sandstone/64x32: 832 272
:geoo/sandstone/32x32: 736 272
:geoo/sandstone/32x32: 896 272
