$FILENAME single/clam/Arcane/beaten-into-shape.txt
$LEVEL_BUILT_REQUIRED 2014-06-08 16:17:32
$GAME_VERSION_REQUIRED 0.9.1

+PLAYER 0 Garden Forestidia

! 109 0 ASSIGN=BASHER 0
! 195 0 ASSIGN=BATTER 18
! 196 0 ASSIGN=BATTER 12
! 197 0 ASSIGN=BATTER 19
! 198 0 ASSIGN=BATTER 13
! 199 0 ASSIGN=BATTER 20
! 202 0 ASSIGN=BATTER 21
! 206 0 ASSIGN=BATTER 22
! 214 0 ASSIGN=BATTER 24
! 215 0 ASSIGN=BATTER 15
! 217 0 ASSIGN=BATTER 22
! 222 0 ASSIGN=BATTER 26
! 225 0 ASSIGN=BATTER 24
! 226 0 ASSIGN=BATTER 15
! 230 0 ASSIGN=BATTER 28
! 233 0 ASSIGN=BATTER 26
! 237 0 ASSIGN=BATTER 15
! 238 0 ASSIGN=BATTER 30
! 241 0 ASSIGN=BATTER 28
! 246 0 ASSIGN=BATTER 32
! 248 0 ASSIGN=BATTER 15
! 249 0 ASSIGN=BATTER 30
! 254 0 ASSIGN=BATTER 34
! 257 0 ASSIGN=BATTER 32
! 259 0 ASSIGN=BATTER 15
! 262 0 ASSIGN=BATTER 36
! 265 0 ASSIGN=BATTER 34
! 270 0 ASSIGN=BATTER 15
! 271 0 ASSIGN=BATTER 38
! 273 0 ASSIGN=BATTER 36
! 274 0 ASSIGN=BATTER 39
! 281 0 ASSIGN=BATTER 15
! 282 0 ASSIGN=BATTER 41
! 284 0 ASSIGN=BATTER 36
! 290 0 ASSIGN=BATTER 1
! 291 0 ASSIGN=BATTER 43
! 292 0 ASSIGN=BATTER 15
! 293 0 ASSIGN=BATTER 41
! 298 0 ASSIGN=BATTER 3
! 299 0 ASSIGN=BATTER 45
! 301 0 ASSIGN=BATTER 1
! 303 0 ASSIGN=BATTER 15
! 306 0 ASSIGN=BATTER 47
! 309 0 ASSIGN=BATTER 3
! 314 0 ASSIGN=BATTER 15
! 315 0 ASSIGN=BATTER 49
! 316 0 ASSIGN=BATTER 5
! 317 0 ASSIGN=BATTER 47
! 325 0 ASSIGN=BATTER 15
! 327 0 ASSIGN=BATTER 5
! 334 0 ASSIGN=BATTER 7

$BUILT 2014-06-08 16:17:32
$AUTHOR Clam
$ENGLISH Beaten into shape

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 640
#SIZE_Y 400

#INITIAL 50
#REQUIRED 45
#SPAWN_INTERVAL 4

#BASHER 1
#BATTER 50
#EXPLODER2 0

:geoo/construction/Hatch.H: 128 176

:geoo/construction/Goal2.G: 384 208

:geoo/construction/squisher.T: 288 208

:geoo/construction/sawblade.F: 320 216

:geoo/construction/pillar_32: 288 176
:geoo/construction/pillar_32: 288 144
:geoo/construction/pillar_top_shaded: 288 128
:geoo/construction/pillar_base: 272 112
:geoo/construction/wall/small_64x64: 224 208
:geoo/construction/wall/small_64x64: 0 208
:geoo/construction/wall/small_64x64: 0 144
:geoo/construction/wall/small_64x64: 0 80
:geoo/construction/wall/small_64x64: 0 272
:geoo/construction/wall/small_64x64: 64 272
:geoo/construction/wall/small_64x64: 128 272
:geoo/construction/wall/small_64x64: 192 272
:geoo/construction/wall/small_64x64: 256 272
:geoo/construction/wall/small_64x64: 320 272
:geoo/construction/wall/small_64x64: 384 272
:geoo/construction/wall/small_64x64: 448 272
:geoo/construction/wall/small_64x64: 64 48
:geoo/construction/wall/small_64x64: 0 48
:geoo/construction/wall/small_64x64: 128 48
:geoo/construction/wall/small_64x64: 192 48
:geoo/construction/wall/small_64x64: 256 48
:geoo/construction/wall/small_64x64: 320 48
:geoo/construction/wall/small_64x64: 384 48
:geoo/construction/wall/small_64x64: 448 48
:geoo/construction/squarebrick_large: 496 240
:geoo/construction/squarebrick_large: 528 240
:geoo/construction/wall/small_64x64: 512 272
:geoo/construction/wall/small_64x64: 512 48
:geoo/construction/squarebrick_large: 512 208
:geoo/construction/squarebrick_large: 496 176
:geoo/construction/squarebrick_large: 528 176
:geoo/construction/squarebrick_large: 512 144
:geoo/construction/squarebrick_large: 496 112
:geoo/construction/squarebrick_large: 528 112
:geoo/construction/wall/small_64x64: 576 208
:geoo/construction/wall/small_64x64: 576 144
:geoo/construction/wall/small_64x64: 576 80
:geoo/construction/wall/small_64x64: 576 272
:geoo/construction/wall/small_64x64: 576 48
:geoo/construction/wall/small_64x64: 64 -16
