$FILENAME single/lemforum/Hopeless/eyeoftheneedle.txt
$LEVEL_BUILT_REQUIRED 2017-11-24 14:17:17
$GAME_VERSION_REQUIRED 0.9.1

+PLAYER 0 Garden Michael

! 75 0 ASSIGN=CLIMBER 0
! 158 0 ASSIGN=CLIMBER 1
! 234 0 ASSIGN=CLIMBER 2
! 306 0 ASSIGN=CLIMBER 3
! 319 0 ASSIGN=EXPLODER 0
! 381 0 ASSIGN=CLIMBER 4
! 385 0 ASSIGN=PLATFORMER 1
! 476 0 ASSIGN=CLIMBER 5
! 552 0 ASSIGN=CLIMBER 6
! 633 0 ASSIGN=CLIMBER 7
! 739 0 ASSIGN=CLIMBER 8
! 791 0 ASSIGN=CLIMBER 9
! 1020 0 ASSIGN=MINER 9
! 1157 0 ASSIGN=PLATFORMER 9
! 1421 0 ASSIGN=RUNNER 6
! 1530 0 ASSIGN=PLATFORMER 6
! 1639 0 ASSIGN=BLOCKER 6
! 1660 0 ASSIGN=EXPLODER 8
! 1688 0 ASSIGN=FLOATER 9
! 1842 0 ASSIGN=MINER 9
! 2225 0 ASSIGN=MINER 2

$BUILT 2017-11-24 14:17:17
$AUTHOR mobius
$ENGLISH Eye of the Needle

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 1200
#SIZE_Y 400

#INITIAL 10
#REQUIRED 7
#SPAWN_INTERVAL 80

#RUNNER 1
#CLIMBER 10
#FLOATER 1
#EXPLODER 2
#BLOCKER 1
#PLATFORMER 3
#MINER 3

:simon/hatch001.H: 1068 232 r

:geoo/construction/Goal2.G: 176 208

:geoo/steel/64x64.S: 976 208
:geoo/steel/64x64.S: 976 336
:geoo/steel/64x64.S: 976 272
:geoo/construction/concrete/032h: 976 48
:geoo/construction/concrete/064: 976 80
:geoo/construction/concrete/064: 976 144
:geoo/steel/64x64o.S: 848 208
:geoo/steel/64x64o.S: 848 144
:geoo/steel/64x64o.S: 848 80
:geoo/steel/64x64o.S: 656 272
:geoo/steel/64x64o.S: 336 272
:geoo/construction/wall/small_64x64: 784 48
:geoo/construction/wall/small_64x64: 720 48
:geoo/construction/wall/small_64x64: 656 48
:geoo/steel/64x64o.S: 272 272
:geoo/steel/64x64o.S: 208 272
:geoo/construction/wall/big_brick3: 72 0
:geoo/construction/wall/big_brick2: 120 32
:geoo/construction/wall/big_brick2: 104 64
:geoo/construction/wall/big_brick2: 56 32
:geoo/construction/wall/big_brick2: 88 96
:geoo/construction/wall/big_brick2: 120 128
:geoo/construction/wall/small_64x64: 592 48
:geoo/construction/wall/big_brick2: 24 304
:geoo/construction/wall/big_brick2: 48 336
:geoo/construction/wall/big_brick2: 40 368
:geoo/steel/64x64o.S: 592 272
:geoo/steel/64x64o.S: 528 272
:geoo/construction/wall/small_64x64: 528 48
:geoo/construction/wall/small_64x64: 464 48
:geoo/steel/64x64o.S: 464 272
:geoo/steel/64x64o.S: 400 272
:geoo/construction/wall/small_64x64: 656 272
:geoo/construction/wall/small_64x64: 592 272
:geoo/construction/wall/small_64x64: 208 272
:geoo/construction/wall/small_64x64: 272 272
:geoo/construction/wall/small_64x64: 336 272
:geoo/construction/wall/small_64x64: 400 272
:geoo/construction/wall/small_64x64: 464 272
:geoo/construction/wall/small_64x64: 528 272
:geoo/construction/concrete/064: 464 48
:geoo/steel/64x32o.S: 848 48
:geoo/steel/64x64.S: 1040 336
:geoo/steel/64x64.S: 1104 336
:geoo/construction/concrete/128: 848 272
:geoo/construction/wall/big_128x128: 1072 0
:geoo/construction/wall/big_128x128: 1072 64
:geoo/steel/64x64o.S: 656 336
:geoo/steel/64x64o.S: 336 336
:geoo/steel/64x64o.S: 272 336
:geoo/steel/64x64o.S: 208 336
:geoo/steel/64x64o.S: 592 336
:geoo/steel/64x64o.S: 528 336
:geoo/steel/64x64o.S: 464 336
:geoo/steel/64x64o.S: 400 336
:geoo/construction/wall/small_64x64: 656 336
:geoo/construction/wall/small_64x64: 592 336
:geoo/construction/wall/small_64x64: 208 336
:geoo/construction/wall/small_64x64: 272 336
:geoo/construction/wall/small_64x64: 336 336
:geoo/construction/wall/small_64x64: 400 336
:geoo/construction/wall/small_64x64: 464 336
:geoo/construction/wall/small_64x64: 528 336
:geoo/construction/concrete/128: 144 272
:geoo/steel/64x64o.S: 784 272
:geoo/steel/64x64o.S: 720 272
:geoo/construction/wall/small_64x64: 784 272
:geoo/construction/wall/small_64x64: 720 272
:geoo/steel/64x64o.S: 784 336
:geoo/steel/64x64o.S: 720 336
:geoo/construction/wall/small_64x64: 784 336
:geoo/construction/wall/small_64x64: 720 336
:geoo/construction/concrete/032c: 1040 0
