$FILENAME single/lemforum/Hopeless/metalcitymayhem.txt
$LEVEL_BUILT_REQUIRED 2016-07-29 20:18:40
$GAME_VERSION_REQUIRED 0.7.14

+PLAYER 0 Garden geoo

! 79 0 ASSIGN=FLOATER 0
! 105 0 ASSIGN=MINER 0
! 109 0 ASSIGN=BUILDER 0
! 143 0 ASSIGN=FLOATER 1
! 195 0 ASSIGN=BUILDER 1
! 207 0 ASSIGN=FLOATER 2
! 263 0 ASSIGN=FLOATER 3
! 301 0 ASSIGN=BLOCKER 0
! 386 0 ASSIGN=CLIMBER 2
! 475 0 ASSIGN=BUILDER 3
! 476 0 ASSIGN=BUILDER 3
! 477 0 ASSIGN=BUILDER 3
! 757 0 ASSIGN=MINER 2
! 838 0 ASSIGN=BASHER 2
! 983 0 ASSIGN=BUILDER 2
! 993 0 ASSIGN=JUMPER 2
! 1130 0 ASSIGN=MINER 3
! 1181 0 ASSIGN=CLIMBER 3
! 1318 0 ASSIGN=BUILDER 3
! 1508 0 ASSIGN=MINER 2
! 1512 0 ASSIGN=BUILDER 2
! 1537 0 ASSIGN=DIGGER 3
! 1585 0 ASSIGN=DIGGER 3
! 1699 0 ASSIGN=JUMPER 2
! 1759 0 ASSIGN=BUILDER 3
! 1819 0 ASSIGN=BUILDER 2
! 1821 0 ASSIGN=BUILDER 2
! 1830 0 ASSIGN_RIGHT=BASHER 14
! 1918 0 ASSIGN=MINER 7
! 1984 0 ASSIGN=BASHER 3
! 2061 0 ASSIGN=DIGGER 31
! 2106 0 ASSIGN_RIGHT=BUILDER 18
! 2185 0 ASSIGN=JUMPER 2
! 2282 0 ASSIGN=MINER 0

$BUILT 2016-07-29 20:18:40
$AUTHOR Michael S. Repton
$ENGLISH Metal City Mayhem

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 640
#SIZE_Y 960
#TORUS_X 0
#TORUS_Y 1
#START_X 0
#START_Y 0

#INITIAL 32
#REQUIRED 32
#SPAWN_INTERVAL 64

#CLIMBER 3
#FLOATER 4
#EXPLODER 3
#BLOCKER 3
#BUILDER 12
#BASHER 3
#MINER 6
#DIGGER 3
#JUMPER 3

:geoo/sandstone/Hatch.H: 128 32

:geoo/sandstone/Goal.G: 400 144

:geoo/steel/dark_32x32o.S: 240 304
:geoo/steel/dark_32x32o.S: 240 336
:geoo/steel/dark_48x32o.S: 432 448
:geoo/steel/dark_48x32o.S: 384 448
:geoo/steel/dark_48x32o.S: 336 448
:geoo/steel/dark_48x32o.S: 288 448
:geoo/steel/dark_48x32o.S: 432 368
