$FILENAME single/lemforum/Hopeless/fromtheotherside.txt
$LEVEL_BUILT_REQUIRED 2012-05-29 16:19:45
$GAME_VERSION_REQUIRED 0.7.14

+PLAYER 0 Garden geoo

! 121 0 ASSIGN=BLOCKER 1
! 166 0 ASSIGN=BUILDER 0
! 168 0 ASSIGN=BUILDER 0
! 181 0 ASSIGN=BLOCKER 2
! 328 0 ASSIGN=CLIMBER 0
! 842 0 ASSIGN=DIGGER 0
! 1279 0 ASSIGN=EXPLODER 0
! 1310 0 ASSIGN_LEFT=JUMPER 3
! 1334 0 ASSIGN=CLIMBER 3
! 1766 0 ASSIGN=MINER 3
! 2447 0 ASSIGN_RIGHT=BATTER 4
! 2588 0 ASSIGN=EXPLODER 3

$BUILT 2012-05-29 16:19:45
$AUTHOR Michael S. Repton
$ENGLISH From the Other Side

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 1280
#SIZE_Y 400
#START_X 288
#START_Y 0

#INITIAL 40
#REQUIRED 38
#SPAWN_INTERVAL 50

#CLIMBER 2
#EXPLODER 2
#BLOCKER 2
#BUILDER 2
#MINER 1
#DIGGER 1
#JUMPER 1
#BATTER 1

:geoo/sandstone/Hatch.H: 400 176

:geoo/sandstone/Goal.G: 992 240

:simon/water.W: 320 352
:simon/water.W: 368 352
:simon/water.W: 416 352
:simon/water.W: 464 352
:simon/water.W: 512 352
:simon/water.W: 560 352
:simon/water.W: 608 352
:simon/water.W: 656 352
:simon/water.W: 704 352
:simon/water.W: 960 352
:simon/water.W: 1008 352
:proxima/flame.F: 800 224
:proxima/flame.F: 832 224

:geoo/sandstone/64x32: 32 304
:geoo/sandstone/64x32: 224 304
:geoo/construction/stairsbrick_ru_32: 64 272
:geoo/sandstone/64x32: 128 240
:geoo/construction/stairsbrick_rd_32: 176 272
:geoo/sandstone/pillar_bottom_ext: 128 224
:geoo/sandstone/pillar_bottom: 144 192
:geoo/construction/stairsbrick_ru_8: 160 160
:geoo/sandstone/pillar_top_jaggedr: 144 160
:geoo/construction/stairsbrick_ru_8: 176 152
:geoo/sandstone/pillar_32: 208 80
:geoo/sandstone/pillar_top: 208 48
:geoo/sandstone/pillar_top_ext: 192 32
:geoo/sandstone/64x32: 192 0
:geoo/construction/stairsbrick_ru_8: 192 144
:geoo/construction/stairsbrick_ru_8: 208 136
:geoo/sandstone/pillar_top_jaggedl: 208 112 f
:geoo/sandstone/slopes/32x32rt: 160 0
:geoo/sandstone/slopes/32x32lt: 256 0
:geoo/sandstone/slopes/32x32lt: 128 0
:geoo/sandstone/64x32: 64 0
:geoo/sandstone/64x32: 0 0
:geoo/sandstone/32x64: 0 32
:geoo/sandstone/32x32: 32 32
:geoo/sandstone/slopes/32x32lt: 32 64
:geoo/sandstone/64x64: 0 336
:geoo/sandstone/64x64: 64 336
:geoo/sandstone/64x64: 192 336
:geoo/sandstone/64x64: 256 336
:geoo/sandstone/slopes/32x64lb: 128 336
:geoo/sandstone/slopes/32x64rb: 160 336
:geoo/sandstone/pillar_top_ext: 384 304
:geoo/sandstone/pillar_top_ext: 576 304
:geoo/sandstone/64x32: 384 272
:geoo/sandstone/64x32: 448 272
:geoo/sandstone/64x32: 512 272
:geoo/sandstone/64x32: 576 272
:geoo/sandstone/pillar_32: 400 352
:geoo/sandstone/pillar_top: 400 320
:geoo/sandstone/pillar_32: 592 352
:geoo/sandstone/pillar_top: 592 320
:geoo/steel/dark_64x64o.S: 736 336
:geoo/steel/dark_64x64o.S: 800 336
:geoo/steel/dark_64x64o.S: 864 336
:geoo/sandstone/64x32: 736 304
:geoo/sandstone/64x32: 800 304
:geoo/sandstone/64x32: 864 304
:geoo/sandstone/64x32: 768 272
:geoo/sandstone/64x32: 832 272
:geoo/sandstone/32x32: 736 272
:geoo/sandstone/32x32: 896 272
:geoo/sandstone/64x32: 736 176
:geoo/sandstone/64x32: 800 176
:geoo/sandstone/64x32: 864 176
:geoo/sandstone/64x32: 768 144
:geoo/sandstone/64x32: 832 144
:geoo/sandstone/32x32: 736 144
:geoo/sandstone/32x32: 896 144
:geoo/sandstone/64x32: 736 112
:geoo/sandstone/64x32: 800 112
:geoo/sandstone/64x32: 864 112
:geoo/sandstone/64x32: 768 80
:geoo/sandstone/64x32: 832 80
:geoo/sandstone/32x32: 736 80
:geoo/sandstone/32x32: 896 80
:geoo/sandstone/64x32: 736 48
