$FILENAME single/lemforum/Simple/anecklaceofraindrops.txt
$LEVEL_BUILT_REQUIRED 2016-06-28 13:19:07
$GAME_VERSION_REQUIRED 0.6.6

+PLAYER 0 Garden Simon

! 150 0 ASSIGN_RIGHT=BASHER 0
! 245 0 ASSIGN=BUILDER 0
! 259 0 ASSIGN=BASHER 1
! 286 0 ASSIGN=BUILDER 1
! 349 0 ASSIGN=MINER 1
! 391 0 ASSIGN_RIGHT=JUMPER 6
! 414 0 ASSIGN=PLATFORMER 6
! 433 0 ASSIGN_RIGHT=BUILDER 8
! 522 0 ASSIGN_RIGHT=BASHER 6
! 621 0 ASSIGN_LEFT=BUILDER 13
! 678 0 ASSIGN=PLATFORMER 13
! 716 0 ASSIGN=BUILDER 6
! 726 0 ASSIGN=BUILDER 6
! 815 0 ASSIGN_RIGHT=JUMPER 13
! 836 0 ASSIGN=BASHER 13
! 961 0 ASSIGN_RIGHT=JUMPER 19
! 1006 0 ASSIGN=WALKER 19
! 1009 0 ASSIGN=MINER 19

$BUILT 2016-06-28 13:19:07
$AUTHOR Michael S. Repton
$ENGLISH A Necklace of Raindrops

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 960
#SIZE_Y 400
#START_X 0
#START_Y 0

#SECONDS 0
#INITIAL 30
#REQUIRED 20
#SPAWN_INTERVAL 32

#WALKER 40
#BUILDER 30
#PLATFORMER 30
#BASHER 20
#MINER 20
#DIGGER 20
#JUMPER 20
#EXPLODER2 0

:geoo/construction/Hatch.H: 176 160

:proxima/tile/goal.G: 792 83

:proxima/tile/spheres/blue: 920 48
:proxima/tile/spheres/cyan: 896 64
:proxima/tile/spheres/blue: 880 88
:proxima/tile/spheres/cyan: 856 112
:proxima/tile/spheres/blue: 832 128
:proxima/tile/spheres/cyan: 800 144
:proxima/tile/spheres/blue: 776 144
:proxima/tile/spheres/cyan: 752 136
:proxima/tile/spheres/red: 672 136
:proxima/tile/spheres/pink: 688 160
:proxima/tile/spheres/blue: 736 120
:proxima/tile/spheres/cyan: 720 104
:proxima/tile/spheres/red: 576 -40
:proxima/tile/spheres/pink: 608 -32
:proxima/tile/spheres/red: 624 -8
:proxima/tile/spheres/pink: 640 16
:proxima/tile/spheres/red: 648 32
:proxima/tile/spheres/pink: 656 56
:proxima/tile/spheres/red: 656 80
:proxima/tile/spheres/blue: 696 88
:proxima/tile/spheres/cyan: 680 88
:proxima/tile/spheres/blue: 664 104
:proxima/tile/spheres/cyan: 656 120
:proxima/tile/spheres/blue: 648 136
:proxima/tile/orange3a: 928 304
:proxima/tile/spheres/red: 928 264
:proxima/tile/spheres/pink: 904 272
:proxima/tile/orange3: 832 336
:proxima/tile/orange3: 896 336
:proxima/tile/spheres/red: 888 288
:proxima/tile/spheres/pink: 872 304
:proxima/tile/spheres/red: 840 312
:proxima/tile/orange3: 768 336
:proxima/tile/orange3a: 800 304
:proxima/tile/spheres/pink: 816 296
:proxima/tile/spheres/red: 696 176
:proxima/tile/spheres/pink: 712 200
:proxima/tile/orange3: 704 272
:proxima/tile/spheres/red: 720 224
:proxima/tile/spheres/pink: 728 240
:proxima/tile/orange3a: 768 304
:proxima/tile/spheres/red: 744 264
:proxima/tile/spheres/pink: 768 264
:proxima/tile/spheres/red: 792 272
:proxima/tile/spheres/cyan: 648 160
:proxima/tile/spheres/blue: 656 176
:proxima/tile/spheres/cyan: 672 200
:proxima/tile/orange3: 640 272
:proxima/tile/spheres/blue: 664 224
:proxima/tile/spheres/cyan: 656 240
:proxima/tile/spheres/blue: 640 256
:proxima/tile/orange3: 576 272
:proxima/tile/spheres/cyan: 608 256
:proxima/tile/spheres/blue: 584 248
:proxima/tile/orange3: 512 272
:proxima/tile/orange3: 512 208
:proxima/tile/spheres/cyan: 560 224
:proxima/tile/spheres/red: 480 216
:proxima/tile/spheres/pink: 480 240
:proxima/tile/spheres/red: 480 264
:proxima/tile/orange3: 448 336
:proxima/tile/orange3: 512 336
:proxima/tile/spheres/pink: 472 288
:proxima/tile/spheres/red: 456 312
:proxima/tile/orange3: 384 336
:proxima/tile/spheres/pink: 440 328
:proxima/tile/spheres/red: 408 328
:proxima/tile/spheres/blue: 544 200
