$FILENAME single/rubix/Pleasant/wealljumpacross.txt
$LEVEL_BUILT_REQUIRED 2014-06-04 10:20:34
$GAME_VERSION_REQUIRED 0.6.1

+PLAYER 0 Garden Rubix

! 257 0 ASSIGN=JUMPER 0
! 260 0 ASSIGN=JUMPER 1
! 262 0 ASSIGN=JUMPER 2
! 268 0 ASSIGN=JUMPER 3
! 271 0 ASSIGN=JUMPER 4
! 276 0 ASSIGN=JUMPER 5
! 279 0 ASSIGN=JUMPER 6
! 284 0 ASSIGN=JUMPER 7
! 308 0 ASSIGN=JUMPER 0
! 311 0 ASSIGN=JUMPER 1
! 314 0 ASSIGN=JUMPER 2
! 316 0 ASSIGN=JUMPER 3
! 319 0 ASSIGN=JUMPER 4
! 324 0 ASSIGN=JUMPER 5
! 328 0 ASSIGN=JUMPER 6
! 336 0 ASSIGN=JUMPER 7
! 373 0 ASSIGN=JUMPER 8
! 382 0 ASSIGN=JUMPER 9
! 388 0 ASSIGN=JUMPER 10
! 390 0 ASSIGN=JUMPER 11
! 394 0 ASSIGN=JUMPER 12
! 397 0 ASSIGN=JUMPER 13
! 401 0 ASSIGN=JUMPER 14
! 407 0 ASSIGN=JUMPER 15
! 429 0 ASSIGN=JUMPER 8
! 432 0 ASSIGN=JUMPER 9
! 437 0 ASSIGN=JUMPER 10
! 439 0 ASSIGN=JUMPER 11
! 443 0 ASSIGN=JUMPER 12
! 446 0 ASSIGN=JUMPER 13
! 451 0 ASSIGN=JUMPER 14
! 456 0 ASSIGN=JUMPER 15
! 492 0 ASSIGN=JUMPER 16
! 494 0 ASSIGN=JUMPER 17
! 500 0 ASSIGN=JUMPER 18
! 503 0 ASSIGN=JUMPER 19
! 505 0 ASSIGN=JUMPER 20
! 508 0 ASSIGN=JUMPER 21
! 512 0 ASSIGN=JUMPER 22
! 515 0 ASSIGN=JUMPER 23
! 543 0 ASSIGN=JUMPER 16
! 545 0 ASSIGN=JUMPER 17
! 547 0 ASSIGN=JUMPER 18
! 549 0 ASSIGN=JUMPER 19
! 554 0 ASSIGN=JUMPER 20
! 557 0 ASSIGN=JUMPER 21
! 562 0 ASSIGN=JUMPER 22
! 565 0 ASSIGN=JUMPER 23
! 591 0 ASSIGN=JUMPER 24
! 593 0 ASSIGN=JUMPER 25
! 601 0 ASSIGN=JUMPER 26
! 603 0 ASSIGN=JUMPER 27
! 605 0 ASSIGN=JUMPER 28
! 610 0 ASSIGN=JUMPER 29
! 612 0 ASSIGN=JUMPER 30
! 617 0 ASSIGN=JUMPER 31
! 620 0 ASSIGN=JUMPER 32
! 625 0 ASSIGN=JUMPER 33
! 628 0 ASSIGN=JUMPER 34
! 633 0 ASSIGN=JUMPER 35
! 644 0 ASSIGN=JUMPER 24
! 646 0 ASSIGN=JUMPER 25
! 652 0 ASSIGN=JUMPER 26
! 654 0 ASSIGN=JUMPER 27
! 656 0 ASSIGN=JUMPER 28
! 659 0 ASSIGN=JUMPER 29
! 664 0 ASSIGN=JUMPER 30
! 669 0 ASSIGN=JUMPER 31
! 671 0 ASSIGN=JUMPER 32
! 676 0 ASSIGN=JUMPER 33
! 679 0 ASSIGN=JUMPER 34
! 684 0 ASSIGN=JUMPER 35

$BUILT 2014-06-04 10:20:34
$AUTHOR Rubix
$ENGLISH We all jump across

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 640
#SIZE_Y 500
#START_X 0
#START_Y 80
#BACKGROUND_RED 0
#BACKGROUND_GREEN 64
#BACKGROUND_BLUE 224

#SECONDS 0
#INITIAL 36
#REQUIRED 36
#SPAWN_INTERVAL 4

#JUMPER 72
#EXPLODER 0

:matt/beach/Hatch.H: 20 222 r
:matt/beach/Hatch.H: 20 222 r
:matt/beach/Hatch.H: 20 222 r
:matt/beach/Hatch.H: 20 222 r
:matt/beach/Hatch.H: 20 222 r
:matt/beach/Hatch.H: 20 222 r
:matt/beach/Hatch.H: 20 222 r
:matt/beach/Hatch.H: 20 222 r
:matt/beach/Hatch.H: 182 214 r
:matt/beach/Hatch.H: 182 214 r
:matt/beach/Hatch.H: 182 214 r
:matt/beach/Hatch.H: 182 214 r
:matt/beach/Hatch.H: 182 214 r
:matt/beach/Hatch.H: 182 214 r
:matt/beach/Hatch.H: 182 214 r
:matt/beach/Hatch.H: 182 214 r
:matt/beach/Hatch.H: 346 214 r
:matt/beach/Hatch.H: 346 214 r
:matt/beach/Hatch.H: 346 214 r
:matt/beach/Hatch.H: 346 214 r
:matt/beach/Hatch.H: 346 214 r
:matt/beach/Hatch.H: 346 214 r
:matt/beach/Hatch.H: 346 214 r
:matt/beach/Hatch.H: 346 214 r
:matt/beach/Hatch.H: 480 170 r
:matt/beach/Hatch.H: 480 170 r
:matt/beach/Hatch.H: 480 170 r
:matt/beach/Hatch.H: 480 170 r
