$FILENAME single/lemforum/Vicious/evacuatethesinking.txt
$LEVEL_BUILT_REQUIRED 2017-08-17 00:05:53
$GAME_VERSION_REQUIRED 0.7.19

+PLAYER 0 Garden Simon

! 791 0 ASSIGN=MINER 36
! 902 0 ASSIGN_LEFT=MINER 12
! 903 0 ASSIGN_LEFT=MINER 14
! 905 0 ASSIGN_LEFT=MINER 16
! 906 0 ASSIGN_LEFT=MINER 24
! 1006 0 ASSIGN=PLATFORMER 13
! 1007 0 ASSIGN=PLATFORMER 13
! 1008 0 ASSIGN=PLATFORMER 13

$BUILT 2017-08-17 00:05:53
$AUTHOR
$ENGLISH Evacuate the Sinking Ship

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 1136
#SIZE_Y 384
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 16

#INITIAL 40
#REQUIRED 35
#SPAWN_INTERVAL 20

#PLATFORMER 3
#MINER 5
#EXPLODER2 0

:geoo/construction/Hatch.H: 400 128

:geoo/construction/Goal2.G: 96 232

:simon/water.W: 0 304
:simon/water.W: 48 304
:simon/water.W: 96 304
:simon/water.W: 144 304
:simon/water.W: 192 304
:simon/water.W: 240 304
:simon/water.W: 288 304
:simon/water.W: 336 304
:simon/water.W: 384 304
:simon/water.W: 432 304
:simon/water.W: 480 304
:simon/water.W: 528 304
:simon/water_main.W: 48 352
:simon/water_main.W: 96 352
:simon/water_main.W: 144 352
:simon/water_main.W: 192 352
:simon/water_main.W: 240 352
:simon/water_main.W: 288 352
:simon/water_main.W: 336 352
:simon/water_main.W: 384 352
:simon/water_main.W: 432 352
:simon/water_main.W: 480 352
:simon/water_main.W: 528 352
:simon/water_main.W: 576 352
:simon/water_main.W: 0 352
:simon/water_main.W: 576 368
:simon/water_main.W: 48 368
:simon/water_main.W: 96 368
:simon/water_main.W: 144 368
:simon/water_main.W: 192 368
:simon/water_main.W: 240 368
:simon/water_main.W: 288 368
:simon/water_main.W: 336 368
:simon/water_main.W: 384 368
:simon/water_main.W: 432 368
:simon/water_main.W: 480 368
:simon/water_main.W: 528 368
:simon/water_main.W: 0 368

:geoo/construction/wall/small_brickdiag_bd: 416 192
:geoo/construction/wall/small_brickdiag_bd: 432 208
:geoo/construction/wall/small_brick1: 464 208
:geoo/construction/wall/small_brick1: 496 208
:geoo/construction/platformbrick: 192 280
:geoo/construction/platformbrick: 160 280
:geoo/construction/wall/small_brickdiag_bd: 448 224
:geoo/construction/wall/small_brickdiag_bd: 464 240
:geoo/construction/wall/small_brickdiag_bd: 480 256
:geoo/construction/wall/small_brick1: 480 224
:geoo/construction/wall/small_brick1: 496 240
:geoo/construction/pillar_bottom: 1088 192
:geoo/construction/pillar_32: 1088 160
:geoo/construction/pillar_32: 1088 128
:geoo/construction/pillar_32: 1088 96
:geoo/construction/pillar_32: 1088 80
:geoo/construction/pillar_top_shaded: 1088 64
:geoo/construction/wall/small_brickdiag_bd: 992 0
:geoo/construction/wall/small_brickdiag_bd: 1008 16
:geoo/construction/wall/small_brickdiag_bd: 1024 32
:geoo/construction/wall/small_brickdiag_bd: 1040 48
:geoo/construction/wall/small_brick1: 1024 0
:geoo/construction/wall/small_brick1: 1056 0
:geoo/construction/wall/small_brick1: 1088 0
:geoo/construction/wall/small_brick1: 1120 0
:geoo/construction/wall/small_brick1: 1328 -16
:geoo/construction/wall/small_brick1: 1040 16
:geoo/construction/wall/small_brick1: 1072 16
:geoo/construction/wall/small_brick1: 1104 16
:geoo/construction/wall/small_brick1: 1312 0
:geoo/construction/wall/small_brick1: 1056 32
:geoo/construction/wall/small_brick1: 1088 32
:geoo/construction/wall/small_brick1: 1120 32
:geoo/construction/wall/small_brick1: 1328 16
:geoo/construction/wall/small_brick1: 1072 48
:geoo/construction/wall/small_brick1: 1104 48
:geoo/construction/wall/small_brick1: 1312 32
:geoo/construction/wall/small_64x64: 496 208
:geoo/construction/wall/small_64x64: 560 208
:geoo/construction/wall/small_64x64: 624 208
:geoo/construction/wall/small_64x64: 688 208
:geoo/construction/wall/small_64x64: 752 208
:geoo/construction/wall/small_64x64: 816 208
:geoo/construction/wall/small_brick1: 880 240
:geoo/construction/wall/small_64x64: 880 208
:geoo/construction/wall/small_64x64: 944 208
:geoo/construction/wall/small_64x64: 1008 208
:geoo/construction/wall/small_64x64: 1072 208
:geoo/construction/wall/small_brick3: 1328 272
:geoo/construction/wall/small_brick3: 1360 272
:geoo/construction/wall/small_brick2: 1392 272
:geoo/construction/wall/small_brick1: 1424 272
:geoo/construction/wall/small_brick3: 1456 272
:geoo/construction/wall/small_brickdiag_bu: 192 280
:geoo/construction/wall/small_brickdiag_bu: 176 296
:geoo/construction/wall/small_brickdiag_bu: 160 312
:geoo/construction/wall/small_brick1: 160 280
:geoo/construction/wall/small_brick3: 144 296
:geoo/construction/wall/small_brickdiag_bu: 144 328
:geoo/construction/wall/small_brick3: 448 192
:geoo/construction/wall/small_brickdiag_bd: 496 272
:geoo/construction/wall/small_brick1: 528 272
:geoo/construction/wall/small_brick1: 560 272
:geoo/construction/wall/small_brickdiag_bd: 512 288
:geoo/construction/wall/small_brickdiag_bd: 528 304
:geoo/construction/wall/small_brickdiag_bd: 544 320
:geoo/construction/wall/small_brick1: 544 288
:geoo/construction/wall/small_brick1: 560 304
:geoo/construction/wall/small_64x64: 560 272
:geoo/construction/wall/small_64x64: 624 272
:geoo/construction/wall/small_64x64: 688 272
:geoo/construction/wall/small_64x64: 752 272
:geoo/construction/wall/small_64x64: 816 272
:geoo/construction/wall/small_64x64: 880 272
:geoo/construction/wall/small_brick1: 944 304
:geoo/construction/wall/small_64x64: 944 272
:geoo/construction/wall/small_64x64: 1008 272
:geoo/construction/wall/small_64x64: 1072 272
:geoo/construction/wall/small_64x64: 1136 256
:geoo/construction/wall/small_brickdiag_bd: 560 336
:geoo/construction/wall/small_brick1: 592 336
:geoo/construction/wall/small_brick1: 624 336
:geoo/construction/wall/small_brickdiag_bd: 592 384
:geoo/construction/wall/small_brickdiag_bd: 608 400
:geoo/construction/wall/small_brick1: 624 384
:geoo/construction/wall/small_64x64: 624 336
:geoo/construction/wall/small_64x64: 688 336
:geoo/construction/wall/small_64x64: 752 336
:geoo/construction/wall/small_64x64: 816 336
:geoo/construction/wall/small_64x64: 880 336
:geoo/construction/wall/small_64x64: 944 336
:geoo/construction/wall/small_brick1: 1008 384
:geoo/construction/wall/small_64x64: 1008 336
:geoo/construction/wall/small_64x64: 1072 336
:geoo/construction/wall/small_64x64: 1136 320
:geoo/construction/wall/small_64x64: 1200 320
:geoo/construction/wall/small_brick3: 112 296
:geoo/construction/wall/small_brick3: 80 296
:geoo/construction/wall/small_brickdiag_bd: 32 280
:geoo/construction/wall/small_brick3: 64 280
:geoo/construction/wall/small_brickdiag_bd: 48 296
:geoo/construction/wall/small_brickdiag_bd: 64 312
:geoo/construction/wall/small_brickdiag_bd: 80 328
:geoo/construction/wall/small_brick3: 128 312
:geoo/construction/wall/small_brick3: 112 328
:geoo/construction/wall/small_brick3: 96 312
:proxima/tile/spheres/gold: 178 34 frr
:proxima/tile/spheres/gold: 186 32 frrd
:geoo/construction/wall/small_brickdiag_bd: 576 352
:geoo/construction/wall/small_brickdiag_bd: 592 368
:geoo/construction/wall/small_brick1: 608 352
