$FILENAME single/misc/mobius/nothingcansurvivethis.txt
$LEVEL_BUILT_REQUIRED 2017-11-23 14:27:13
$GAME_VERSION_REQUIRED 0.9.2

+PLAYER 0 Garden F

! 75 0 ASSIGN=RUNNER 0
! 113 0 ASSIGN=FLOATER 0
! 149 0 ASSIGN=BASHER 0
! 180 0 ASSIGN=PLATFORMER 1
! 181 0 ASSIGN=PLATFORMER 1
! 270 0 ASSIGN=FLOATER 2
! 366 0 ASSIGN=CLIMBER 2
! 367 0 ASSIGN=CLIMBER 0
! 374 0 ASSIGN=FLOATER 3
! 375 0 ASSIGN=CLIMBER 3
! 462 0 ASSIGN=FLOATER 4
! 466 0 ASSIGN=CLIMBER 4
! 518 0 ASSIGN=RUNNER 5
! 545 0 ASSIGN=RUNNER 1
! 547 0 ASSIGN=RUNNER 6
! 549 0 ASSIGN=RUNNER 4
! 551 0 ASSIGN=CLIMBER 1
! 552 0 ASSIGN=CLIMBER 6
! 553 0 ASSIGN=PLATFORMER 5
! 554 0 ASSIGN=PLATFORMER 5
! 574 0 ASSIGN=RUNNER 7
! 575 0 ASSIGN=CLIMBER 7
! 592 0 ASSIGN=FLOATER 1
! 630 0 ASSIGN=FLOATER 6
! 683 0 ASSIGN=FLOATER 7

$BUILT 2017-11-23 14:27:13
$AUTHOR mobius
$ENGLISH Nothing can survive this

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 640
#SIZE_Y 400

#INITIAL 20
#REQUIRED 19
#SPAWN_INTERVAL 70

#RUNNER 10
#CLIMBER 10
#FLOATER 10
#PLATFORMER 4
#BASHER 1
#EXPLODER2 0

:simon/hatch001.H: 24 56

:geoo/construction/Goal2.G: 544 104

:geoo/construction/squarebrick_large: 0 304
:geoo/construction/concrete/064h: 0 336
:geoo/construction/concrete/064h: 128 336
:geoo/construction/concrete/064h: 256 336
:geoo/construction/concrete/064h: 384 336
:geoo/construction/concrete/064h: 512 336
:geoo/construction/squarebrick_large: 32 304
:geoo/construction/squarebrick_large: 0 272
:geoo/construction/squarebrick_large: 32 272
:geoo/construction/squarebrick_large: 64 272
:geoo/construction/squarebrick_large: 96 272
:geoo/construction/squarebrick_large: 64 304
:geoo/construction/squarebrick_large: 96 304
:geoo/construction/squarebrick_large: 0 240
:geoo/construction/squarebrick_large: 32 240
:geoo/construction/squarebrick_large: 0 208
:geoo/construction/squarebrick_large: 32 208
:geoo/construction/squarebrick_large: 64 208
:geoo/construction/squarebrick_large: 96 208
:geoo/construction/squarebrick_large: 64 240
:geoo/construction/squarebrick_large: 96 240
:geoo/construction/squarebrick_large: 0 176
:geoo/construction/squarebrick_large: 32 176
:geoo/construction/squarebrick_large: 64 176
:geoo/construction/squarebrick_large: 96 176
:geoo/construction/squarebrick_large: 256 268
:geoo/construction/squarebrick_large: 288 268
:geoo/construction/squarebrick_large: 256 300
:geoo/construction/squarebrick_large: 288 300
:geoo/construction/squarebrick_large: 256 204
:geoo/construction/squarebrick_large: 288 204
:geoo/construction/squarebrick_large: 256 236
:geoo/construction/squarebrick_large: 288 236
:geoo/construction/squarebrick_large: 256 172
:geoo/construction/squarebrick_large: 288 172
:geoo/construction/squarebrick_large: 512 296
:geoo/construction/squarebrick_large: 544 296
:geoo/construction/squarebrick_large: 512 264
:geoo/construction/squarebrick_large: 544 264
:geoo/construction/squarebrick_large: 576 264
:geoo/construction/squarebrick_large: 608 264
:geoo/construction/squarebrick_large: 576 296
:geoo/construction/squarebrick_large: 608 296
:geoo/construction/squarebrick_large: 512 232
:geoo/construction/squarebrick_large: 544 232
:geoo/construction/squarebrick_large: 512 200
:geoo/construction/squarebrick_large: 544 200
:geoo/construction/squarebrick_large: 576 200
:geoo/construction/squarebrick_large: 608 200
:geoo/construction/squarebrick_large: 576 232
:geoo/construction/squarebrick_large: 608 232
:geoo/construction/squarebrick_large: 512 168
:geoo/construction/squarebrick_large: 544 168
:geoo/construction/squarebrick_large: 576 168
:geoo/construction/squarebrick_large: 608 168
:geoo/construction/concrete/064h: 640 336
:geoo/construction/concrete/064h: 768 336
:geoo/construction/squarebrick_large: 320 300
:geoo/construction/squarebrick_large: 352 300
:geoo/construction/squarebrick_large: 320 268
:geoo/construction/squarebrick_large: 352 268
:geoo/construction/squarebrick_large: 320 236
:geoo/construction/squarebrick_large: 352 236
:geoo/construction/squarebrick_large: 320 204
:geoo/construction/squarebrick_large: 352 204
:geoo/construction/squarebrick_large: 320 172
:geoo/construction/squarebrick_large: 352 172
:geoo/construction/platformbrick: 256 334
:geoo/construction/platformbrick: 288 334
:geoo/construction/platformbrick: 320 334
