$FILENAME single/lemforum/Vicious/endeavor.txt
$LEVEL_BUILT_REQUIRED 2012-03-31 01:09:17
$GAME_VERSION_REQUIRED 0.6.5

+PLAYER 0 Garden Simon

! 86 0 ASSIGN=BUILDER 1
! 134 0 ASSIGN=JUMPER 5
! 137 0 ASSIGN=FLOATER 5
! 138 0 ASSIGN=FLOATER 3
! 181 0 ASSIGN=FLOATER 7
! 182 0 ASSIGN=WALKER 3
! 197 0 ASSIGN=FLOATER 9
! 253 0 ASSIGN=BUILDER 5
! 290 0 ASSIGN=BUILDER 3
! 335 0 ASSIGN=MINER 9
! 457 0 ASSIGN=BUILDER 7
! 537 0 ASSIGN=MINER 5
! 585 0 ASSIGN=BUILDER 3
! 760 0 ASSIGN_LEFT=BUILDER 4

$BUILT 2012-03-31 01:09:17
$AUTHOR Insane Steve
$ENGLISH Endeavor

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 960
#SIZE_Y 400
#START_X 0
#START_Y -20

#SECONDS 0
#INITIAL 10
#REQUIRED 10
#SPAWN_INTERVAL 8

#WALKER 1
#FLOATER 4
#BUILDER 6
#MINER 2
#JUMPER 1
#EXPLODER2 0

:geoo/abstract/hatch.H: 736 336
:geoo/abstract/hatch.H: 48 32

:geoo/abstract/goal.G: 928 0
:geoo/abstract/goal.G: 0 32
:geoo/abstract/goal.G: 48 320

:geoo/construction/Laser_hz_64.F: 336 272
:geoo/construction/Laser_hz_64.F: 272 272
:geoo/construction/Laser_hz_64.F: 336 240
:geoo/construction/Laser_hz_64.F: 272 240

:geoo/construction/steam_right.T: 128 80

:geoo/sandstone/pillar_top: 544 264
:geoo/steel/32x32o.S: 768 368
:geoo/steel/32x32o.S: 736 368
:geoo/sandstone/64x64: 864 336
:geoo/sandstone/64x64: 800 336
:geoo/sandstone/64x64: 800 272
:geoo/sandstone/64x64: 864 272
:geoo/steel/32x32o.S: 704 368
:geoo/steel/32x32o.S: 704 336
:geoo/steel/64x32o.S: 0 80
:geoo/steel/64x32o.S: 64 80
:geoo/steel/32x32o.S: 928 48
:geoo/steel/32x32o.S: 928 80
:geoo/steel/32x32o.S: 928 112
:geoo/steel/32x32o.S: 928 144
:geoo/steel/32x32o.S: 928 176
:geoo/steel/32x32o.S: 928 208
:geoo/steel/32x32o.S: 928 240
:geoo/steel/32x32o.S: 928 272
:geoo/steel/32x32o.S: 928 304
:geoo/steel/32x32o.S: 928 336
:geoo/steel/32x32o.S: 928 368
:geoo/steel/32x32o.S: 0 112
:geoo/steel/32x32o.S: 0 144
:geoo/steel/32x32o.S: 0 176
:geoo/steel/32x32o.S: 0 208
:geoo/steel/32x32o.S: 0 240
:geoo/steel/32x32o.S: 0 272
:geoo/steel/32x32o.S: 0 304
:geoo/steel/32x32o.S: 0 336
:geoo/steel/32x32o.S: 0 368
:geoo/sandstone/slopes/32x64rb: 736 144
:geoo/sandstone/slopes/32x64rb: 768 80
:geoo/sandstone/slopes/32x64rb: 800 16
:geoo/sandstone/slopes/32x64rb: 832 -48
:geoo/steel/32x32o.S: 864 144
:geoo/steel/32x32o.S: 864 176
:geoo/sandstone/64x64: 768 144
:geoo/sandstone/64x64: 800 80
:geoo/sandstone/32x64: 832 144
:geoo/sandstone/32x64: 832 16
:geoo/steel/32x32o.S: 864 80
:geoo/steel/32x32o.S: 864 112
:geoo/steel/32x32o.S: 864 16
:geoo/steel/32x32o.S: 864 48
