$FILENAME single/rubix/Perplexing/justaminutepartt.txt
$LEVEL_BUILT_REQUIRED 2017-08-10 03:49:51
$GAME_VERSION_REQUIRED 0.7.16

+PLAYER 0 Garden Simon

! 258 0 ASSIGN=RUNNER 3
! 260 0 ASSIGN=PLATFORMER 1
! 261 0 ASSIGN=EXPLODER2 0
! 290 0 ASSIGN=DIGGER 1
! 291 0 ASSIGN=EXPLODER2 2
! 342 0 ASSIGN=BUILDER 3
! 415 0 ASSIGN=WALKER 3

$BUILT 2017-08-10 03:49:51
$AUTHOR Rubix
$ENGLISH Just a minute... (part three)

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 560
#SIZE_Y 368
#START_X 0
#START_Y 0

#SECONDS 60
#INITIAL 30
#REQUIRED 10
#SPAWN_INTERVAL 16

#WALKER 2
#RUNNER 1
#EXPLODER2 2
#BUILDER 1
#PLATFORMER 1
#DIGGER 2
#JUMPER 2
#BATTER 1

:matt/goldmine/Hatch.H: 64 32

:matt/goldmine/Goal.G: 480 272

:matt/goldmine/07: 448 -46 frr
:matt/steel/48x48.S: 32 224
:matt/steel/48x48.S: 80 224
:matt/steel/48x48.S: 128 224
:matt/steel/48x48.S: 176 224
:matt/steel/48x48.S: 224 224
:matt/steel/48x48.S: 272 224
:matt/steel/48x48.S: 272 272
:matt/steel/48x48.S: 272 320
:matt/goldmine/crate16: 464 336
:matt/goldmine/crate16: 464 320
:matt/goldmine/crate16: 464 352
:matt/goldmine/crate16: 448 336
:matt/goldmine/crate16: 448 320
:matt/goldmine/crate16: 448 352
:matt/goldmine/crate16: 432 336
:matt/goldmine/crate16: 432 320
:matt/goldmine/crate16: 432 352
:matt/goldmine/crate16: 416 336
:matt/goldmine/crate16: 416 320
:matt/goldmine/crate16: 416 352
:matt/goldmine/crate16: 400 336
:matt/goldmine/crate16: 400 320
:matt/goldmine/crate16: 400 352
:matt/goldmine/crate16: 384 336
:matt/goldmine/crate16: 384 320
:matt/goldmine/crate16: 384 352
:matt/goldmine/crate16: 368 336
:matt/goldmine/crate16: 368 320
:matt/goldmine/crate16: 368 352
:matt/goldmine/crate16: 352 336
:matt/goldmine/crate16: 352 320
:matt/goldmine/crate16: 352 352
:matt/goldmine/crate16: 336 336
:matt/goldmine/crate16: 336 320
:matt/goldmine/crate16: 336 352
:matt/goldmine/crate16: 320 336
:matt/goldmine/crate16: 320 320
:matt/goldmine/crate16: 320 352
:matt/goldmine/crate16: 480 336
:matt/goldmine/crate16: 480 320
:matt/goldmine/crate16: 480 352
:matt/goldmine/crate16: 432 80
:matt/goldmine/crate16: 448 96
:matt/goldmine/crate16: 448 80
:matt/goldmine/crate16: 448 112
:matt/goldmine/crate16: 448 144
:matt/goldmine/crate16: 448 128
:matt/goldmine/crate16: 448 160
:matt/goldmine/crate16: 448 192
