$FILENAME single/clam/Humane/pillarity-ensues.txt
$LEVEL_BUILT_REQUIRED 2015-08-07 07:29:10
$GAME_VERSION_REQUIRED 0.6.11

+PLAYER 0 Garden Michael

! 138 0 ASSIGN=BUILDER 0
! 236 0 ASSIGN=MINER 2
! 335 0 ASSIGN=BASHER 0
! 374 0 ASSIGN=WALKER 0
! 407 0 ASSIGN=DIGGER 0
! 654 0 ASSIGN=WALKER 0
! 699 0 ASSIGN=BASHER 0
! 747 0 ASSIGN=DIGGER 0
! 1064 0 ASSIGN=WALKER 0
! 1072 0 ASSIGN=BUILDER 3

$BUILT 2015-08-07 07:29:10
$AUTHOR Clam
$ENGLISH Pillarity Ensues

#INTENDED_NUMBER_OF_PLAYERS 1
#SIZE_X 640
#SIZE_Y 400

#INITIAL 40
#REQUIRED 20
#SPAWN_INTERVAL 45

#WALKER 10
#RUNNER 10
#CLIMBER 10
#FLOATER 10
#EXPLODER2 10
#BLOCKER 10
#BUILDER 10
#PLATFORMER 10
#BASHER 10
#MINER 10
#DIGGER 10
#JUMPER 10
#BATTER 10
#CUBER 10

:geoo/sandstone/Hatch.H: 384 0

:geoo/sandstone/Goal.G: 96 272

:geoo/sandstone/pillar_bottom: 144 352
:geoo/sandstone/pillar_bottom: 80 352
:geoo/sandstone/pillar_top_ext: 320 0
:geoo/sandstone/pillar_32: 336 16
:geoo/sandstone/pillar_bottom_ext: 320 384
:geoo/sandstone/pillar_top_ext: 368 64
:geoo/sandstone/pillar_32: 384 80
:geoo/sandstone/pillar_32: 336 48
:geoo/sandstone/pillar_32: 336 80
:geoo/sandstone/pillar_32: 336 112
:geoo/sandstone/pillar_32: 336 144
:geoo/sandstone/pillar_32: 336 176
:geoo/sandstone/pillar_32: 336 208
:geoo/sandstone/pillar_32: 336 240
:geoo/sandstone/pillar_32: 336 272
:geoo/sandstone/pillar_32: 336 304
:geoo/sandstone/pillar_top_ext: 432 64
:geoo/sandstone/pillar_32: 448 80
:geoo/sandstone/pillar_32: 336 320
:geoo/sandstone/pillar_top_ext: 480 0
:geoo/sandstone/pillar_32: 496 16
:geoo/sandstone/pillar_32: 496 48
:geoo/sandstone/pillar_bottom_ext: 480 240
:geoo/sandstone/pillar_bottom_ext: 368 320
:geoo/sandstone/pillar_bottom_ext: 432 320
:geoo/sandstone/pillar_32: 384 128
:geoo/sandstone/pillar_32: 448 128
:geoo/sandstone/pillar_32: 384 160
:geoo/sandstone/pillar_32: 448 160
:geoo/sandstone/pillar_32: 384 192
:geoo/sandstone/pillar_32: 448 192
:geoo/sandstone/pillar_32: 384 224
:geoo/sandstone/pillar_32: 448 224
:geoo/sandstone/pillar_32: 384 256
:geoo/sandstone/pillar_32: 448 256
:geoo/sandstone/pillar_32: 384 288
:geoo/sandstone/pillar_32: 448 288
:geoo/sandstone/pillar_32: 496 80
:geoo/sandstone/pillar_32: 496 112
:geoo/sandstone/pillar_32: 496 144
:geoo/sandstone/pillar_32: 496 176
:geoo/sandstone/pillar_32: 496 208
:geoo/sandstone/pillar_top_ext: 272 32
:geoo/sandstone/pillar_top_ext: 224 176
:geoo/sandstone/pillar_top_ext: 176 144
:geoo/sandstone/pillar_top_ext: 64 336
:geoo/sandstone/pillar_bottom_ext: 0 208
:geoo/sandstone/pillar_bottom_ext: 576 384
:geoo/sandstone/pillar_bottom_ext: 0 384
:geoo/sandstone/pillar_bottom_ext: 224 384
:geoo/sandstone/pillar_top_ext: 576 0
:geoo/sandstone/pillar_32: 16 176
:geoo/sandstone/pillar_top_ext: 0 0
:geoo/sandstone/pillar_32: 16 16
:geoo/sandstone/pillar_32: 16 48
:geoo/sandstone/pillar_32: 16 80
:geoo/sandstone/pillar_32: 16 112
:geoo/sandstone/pillar_32: 16 144
:geoo/sandstone/pillar_32: 16 224
:geoo/sandstone/pillar_top_ext: 0 224
:geoo/sandstone/pillar_32: 16 256
:geoo/sandstone/pillar_32: 16 288
:geoo/sandstone/pillar_32: 16 320
:geoo/sandstone/pillar_32: 192 160
:geoo/sandstone/pillar_32: 192 192
:geoo/sandstone/pillar_32: 192 224
:geoo/sandstone/pillar_32: 192 256
:geoo/sandstone/pillar_32: 192 288
:geoo/sandstone/pillar_32: 192 304
:geoo/sandstone/pillar_32: 240 192
:geoo/sandstone/pillar_32: 240 224
:geoo/sandstone/pillar_32: 240 256
:geoo/sandstone/pillar_32: 240 288
:geoo/sandstone/pillar_32: 288 48
:geoo/sandstone/pillar_32: 288 80
:geoo/sandstone/pillar_32: 288 112
:geoo/sandstone/pillar_32: 288 144
